,Accuracy,F score,AUC,LogLoss
DummyClassifierStratified,0.518,0.446,0.51,16.636
DummyClassifierMostFrequent,0.557,0.0,0.5,15.289
LogisticRegression,0.876,0.858,0.927,0.335
RegularizedLogit,0.876,0.858,0.927,0.335
KNN,0.896,0.877,0.963,0.248
RadiusNN,0.857,0.837,0.9232,0.382
SVCLinear,0.88,0.86,0.928,0.335
SVCPolynomial,0.934,0.924,0.9727,0.216
SVCRadialBasis,0.941,0.933,0.9853,0.15
DecisionTree,0.943,0.935,0.981,0.425
RandomForest,0.955,0.948,0.9926,0.111
AdaBoost,0.926,0.916,0.9775,0.676
GradientBoosting,0.957,0.951,0.9936,0.117
xgBoost,0.961,0.955,0.9937,0.101
LightGBM,0.961,0.956,0.9941,0.102
CatBoost,0.96,0.954,0.9931,0.104
