,MAE,MAPE,RMSE
DummyRegressorMedian,2806.394,110.422,4258.833
DummyRegressorQuantile,3105.765,60.473,4964.068
LinearRegression,802.058,45.038,1143.712
RidgeRegression,803.1039999999998,45.201,1143.745
LassoRegression,803.087,45.197,1143.747
ElasticNetRegression,803.0889999999998,45.198,1143.747
KNN,482.132,16.075,956.333
RadiusNN,1735.694,85.742,2806.8140000000003
SVMLinear,740.706,32.641999999999996,1269.5439999999999
SVMPolynomial,321.621,9.542,597.217
SVMRadialBasis,314.482,9.035,584.013
DecisionTree,384.173,10.554,723.135
RandomForest,277.616,7.809,534.131
AdaBoost,1044.361,45.476,1355.758
GradientBoosting,270.413,7.443,521.643
xgBoost,281.573,8.268,532.469
LightGBM,279.798,8.182,524.61
